bom_parent,bom_parent_name,bom_child,bom_child_name,location,sequence_no,quantity,start_date,end_date
LJ94-190005,ALT CF 40IN WIDE COLOR,9000-290006,BLACK MATRIX MATERIAL,CF_BLACK_MATRIX,20,1,2026-04-01,2099-12-31
LJ94-190006,ALT TFT 40IN LEGACY,9000-290007,TFT ARRAY GLASS,TFT_TFT_GLASS,10,1,2026-04-01,2026-06-30
LJ94-190006,ALT TFT 40IN LEGACY,9000-290008,GATE DRIVER IC,TFT_GATE_IC,20,4,2026-04-01,2026-06-30
LJ94-190004,ALT LC 40IN HIGH TRANS,9000-299901,CONDITIONAL LC CHEMICAL,LC_CHEMICAL,30,1,2026-04-01,2099-12-31
LJ94-190006,ALT TFT 40IN LEGACY,9000-299903,DISCONTINUED TFT IC,TFT_GATE_IC_ALT,30,4,2025-01-01,2026-06-30
LJ94-110004,LTA400HR02-0 LC ASSEMBLY,LJ94-119905,LTA400HR02-0 OLD CF ASSEMBLY,CF,40,1,2026-02-01,2026-06-30
LJ94-119905,LTA400HR02-0 OLD CF ASSEMBLY,LJ94-119906,LTA400HR02-0 OLD TFT ASSEMBLY,TFT,10,1,2026-02-01,2026-06-30
LJ94-119905,LTA400HR02-0 OLD CF ASSEMBLY,9000-299910,OLD CF GLASS,CF_CF_GLASS,20,1,2026-02-01,2026-06-30
LJ94-119905,LTA400HR02-0 OLD CF ASSEMBLY,9000-299911,OLD BLACK MATRIX,CF_BLACK_MATRIX,30,1,2026-02-01,2026-06-30
LJ94-119906,LTA400HR02-0 OLD TFT ASSEMBLY,9000-299912,OLD TFT GLASS,TFT_TFT_GLASS,10,1,2026-02-01,2026-06-30
LJ94-119906,LTA400HR02-0 OLD TFT ASSEMBLY,9000-299913,OLD GATE IC,TFT_GATE_IC,20,4,2026-02-01,2026-06-30
LJ94-190004,ALT LC 40IN HIGH TRANS,LJ94-100005,LTA400HR01-0 CF ASSEMBLY,CF,30,1,2026-04-01,2099-12-31
LJ94-190001,ALT OLB 40IN FHD 120HZ,LJ94-110002,LTA400HR02-0 CP ASSEMBLY,CP,30,1,2026-04-01,2099-12-31
LJ94-190005,ALT CF 40IN WIDE COLOR,LJ94-100006,LTA400HR01-0 TFT ASSEMBLY,TFT,30,1,2026-04-01,2099-12-31
