material_id,material_name,material_type,category,unit,supplier_id,approval_status,lifecycle_status,start_date,end_date,specification
LTA550HR01-001,LTA550HR01-0 FA,ASSEMBLY,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,55IN/UHD/120HZ
LJ94-130001,LTA550HR01-0 OLB ASSEMBLY,ASSEMBLY,OLB,EA,SUP-002,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/55IN/UHD/120HZ
LJ94-130002,LTA550HR01-0 CP ASSEMBLY,ASSEMBLY,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/55IN/UHD/120HZ
LJ94-130003,LTA550HR01-0 BIN ASSEMBLY,ASSEMBLY,BIN,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/55IN/UHD/120HZ
LJ94-130004,LTA550HR01-0 LC ASSEMBLY,ASSEMBLY,LC,EA,SUP-003,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/55IN/UHD/120HZ
LJ94-130005,LTA550HR01-0 CF ASSEMBLY,ASSEMBLY,CF,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/55IN/UHD/120HZ
LJ94-130006,LTA550HR01-0 TFT ASSEMBLY,ASSEMBLY,TFT,EA,SUP-001,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/55IN/UHD/120HZ
LJ94-190001,ALT OLB 40IN FHD 120HZ,ASSEMBLY,OLB,EA,SUP-002,APPROVED,ACTIVE,2026-04-01,2099-12-31,OLB/40IN/FHD/120HZ
LJ94-190004,ALT LC 40IN HIGH TRANS,ASSEMBLY,LC,EA,SUP-003,CONDITIONAL,ACTIVE,2026-04-01,2099-12-31,LC/40IN/HIGH_TRANS
LJ94-190005,ALT CF 40IN WIDE COLOR,ASSEMBLY,CF,EA,SUP-001,APPROVED,ACTIVE,2026-04-01,2099-12-31,CF/40IN/WIDE_COLOR
LJ94-190006,ALT TFT 40IN LEGACY,ASSEMBLY,TFT,EA,SUP-008,REJECTED,DISCONTINUED,2025-01-01,2026-06-30,TFT/40IN/LEGACY
0001-200001,FRAME,COMPONENT,FA,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/FRAME
0001-200002,BRACKET,COMPONENT,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/BRACKET
0001-200003,OLB DRIVER IC,COMPONENT,OLB,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/DRIVER_IC
0001-200004,OLB FPCB,COMPONENT,OLB,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/FPCB
0001-200005,POLARIZER,COMPONENT,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/POLARIZER
0001-200006,OPTICAL ADHESIVE,COMPONENT,CP,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/ADHESIVE
0001-200007,BIN FILM,COMPONENT,BIN,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/BIN_FILM
0001-200008,SPACER,COMPONENT,BIN,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/SPACER
0001-200009,LIQUID CRYSTAL,COMPONENT,LC,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/LIQUID_CRYSTAL
0001-200010,LC SEALANT,COMPONENT,LC,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/SEALANT
0001-200011,COLOR FILTER GLASS,COMPONENT,CF,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/CF_GLASS
0001-200012,BLACK MATRIX MATERIAL,COMPONENT,CF,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/BLACK_MATRIX
0001-200013,TFT ARRAY GLASS,COMPONENT,TFT,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/TFT_GLASS
0001-200014,GATE DRIVER IC,COMPONENT,TFT,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/GATE_IC
0002-210001,FRAME,COMPONENT,FA,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/FRAME
0002-210002,BRACKET,COMPONENT,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/BRACKET
0002-210003,OLB DRIVER IC,COMPONENT,OLB,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/DRIVER_IC
0002-210004,OLB FPCB,COMPONENT,OLB,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/FPCB
0002-210005,POLARIZER,COMPONENT,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/POLARIZER
0002-210006,OPTICAL ADHESIVE,COMPONENT,CP,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/ADHESIVE
0002-210007,BIN FILM,COMPONENT,BIN,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/BIN_FILM
0002-210008,SPACER,COMPONENT,BIN,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/SPACER
0002-210009,LIQUID CRYSTAL,COMPONENT,LC,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/LIQUID_CRYSTAL
0002-210010,LC SEALANT,COMPONENT,LC,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/SEALANT
0002-210011,COLOR FILTER GLASS,COMPONENT,CF,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/CF_GLASS
0002-210012,BLACK MATRIX MATERIAL,COMPONENT,CF,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/BLACK_MATRIX
0002-210013,TFT ARRAY GLASS,COMPONENT,TFT,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/TFT_GLASS
0002-210014,GATE DRIVER IC,COMPONENT,TFT,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/GATE_IC
0003-220001,FRAME,COMPONENT,FA,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/FRAME
0003-220002,BRACKET,COMPONENT,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/BRACKET
0003-220003,OLB DRIVER IC,COMPONENT,OLB,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/DRIVER_IC
0003-220004,OLB FPCB,COMPONENT,OLB,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/FPCB
0003-220005,POLARIZER,COMPONENT,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/POLARIZER
0003-220006,OPTICAL ADHESIVE,COMPONENT,CP,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/ADHESIVE
0003-220007,BIN FILM,COMPONENT,BIN,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/BIN_FILM
0003-220008,SPACER,COMPONENT,BIN,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/SPACER
0003-220009,LIQUID CRYSTAL,COMPONENT,LC,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/LIQUID_CRYSTAL
0003-220010,LC SEALANT,COMPONENT,LC,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/SEALANT
0003-220011,COLOR FILTER GLASS,COMPONENT,CF,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/CF_GLASS
0003-220012,BLACK MATRIX MATERIAL,COMPONENT,CF,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/BLACK_MATRIX
0003-220013,TFT ARRAY GLASS,COMPONENT,TFT,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/TFT_GLASS
0003-220014,GATE DRIVER IC,COMPONENT,TFT,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/GATE_IC
0004-230001,FRAME,COMPONENT,FA,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/FRAME
0004-230002,BRACKET,COMPONENT,FA,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,FA/BRACKET
0004-230003,OLB DRIVER IC,COMPONENT,OLB,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/DRIVER_IC
0004-230004,OLB FPCB,COMPONENT,OLB,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/FPCB
0004-230005,POLARIZER,COMPONENT,CP,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/POLARIZER
0004-230006,OPTICAL ADHESIVE,COMPONENT,CP,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CP/ADHESIVE
0004-230007,BIN FILM,COMPONENT,BIN,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/BIN_FILM
0004-230008,SPACER,COMPONENT,BIN,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,BIN/SPACER
0004-230009,LIQUID CRYSTAL,COMPONENT,LC,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/LIQUID_CRYSTAL
0004-230010,LC SEALANT,COMPONENT,LC,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/SEALANT
0004-230011,COLOR FILTER GLASS,COMPONENT,CF,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/CF_GLASS
0004-230012,BLACK MATRIX MATERIAL,COMPONENT,CF,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/BLACK_MATRIX
0004-230013,TFT ARRAY GLASS,COMPONENT,TFT,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/TFT_GLASS
0004-230014,GATE DRIVER IC,COMPONENT,TFT,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,TFT/GATE_IC
9000-290001,OLB DRIVER IC,COMPONENT,OLB,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/DRIVER_IC
9000-290002,OLB FPCB,COMPONENT,OLB,EA,SUP-006,APPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/FPCB
9000-290003,LIQUID CRYSTAL,COMPONENT,LC,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/LIQUID_CRYSTAL
9000-290004,LC SEALANT,COMPONENT,LC,EA,SUP-007,APPROVED,ACTIVE,2026-01-01,2099-12-31,LC/SEALANT
9000-290005,COLOR FILTER GLASS,COMPONENT,CF,EA,SUP-005,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/CF_GLASS
9000-290006,BLACK MATRIX MATERIAL,COMPONENT,CF,EA,SUP-007,APPROVED,ACTIVE,2026-01-01,2099-12-31,CF/BLACK_MATRIX
9000-290007,TFT ARRAY GLASS,COMPONENT,TFT,EA,SUP-005,REJECTED,DISCONTINUED,2026-01-01,2099-12-31,TFT/TFT_GLASS
9000-290008,GATE DRIVER IC,COMPONENT,TFT,EA,SUP-007,REJECTED,DISCONTINUED,2026-01-01,2099-12-31,TFT/GATE_IC
9000-299901,CONDITIONAL LC CHEMICAL,COMPONENT,LC,EA,SUP-004,CONDITIONAL,ACTIVE,2026-01-01,2099-12-31,LC/CHEMICAL/CONDITIONAL
9000-299902,UNAPPROVED DRIVER IC,COMPONENT,OLB,EA,SUP-007,UNAPPROVED,ACTIVE,2026-01-01,2099-12-31,OLB/DRIVER_IC/UNAPPROVED
9000-299903,DISCONTINUED TFT IC,COMPONENT,TFT,EA,SUP-008,REJECTED,DISCONTINUED,2025-01-01,2026-06-30,TFT/GATE_IC/LEGACY
LJ94-119905,LTA400HR02-0 OLD CF ASSEMBLY,ASSEMBLY,CF,EA,SUP-001,APPROVED,DISCONTINUED,2026-02-01,2026-06-30,CF/40IN/FHD/OLD
LJ94-119906,LTA400HR02-0 OLD TFT ASSEMBLY,ASSEMBLY,TFT,EA,SUP-001,APPROVED,DISCONTINUED,2026-02-01,2026-06-30,TFT/40IN/FHD/OLD
9000-299910,OLD CF GLASS,COMPONENT,CF,EA,SUP-008,APPROVED,DISCONTINUED,2026-02-01,2026-06-30,CF_CF_GLASS
9000-299911,OLD BLACK MATRIX,COMPONENT,CF,EA,SUP-008,APPROVED,DISCONTINUED,2026-02-01,2026-06-30,CF_BLACK_MATRIX
9000-299912,OLD TFT GLASS,COMPONENT,TFT,EA,SUP-008,APPROVED,DISCONTINUED,2026-02-01,2026-06-30,TFT_TFT_GLASS
9000-299913,OLD GATE IC,COMPONENT,TFT,EA,SUP-008,APPROVED,DISCONTINUED,2026-02-01,2026-06-30,TFT_GATE_IC
